Drug,Concentration Units,Bolus Units,Infusion Units,Default Units,Units,Color,Lower,Upper,Typical,MEAC,Emerge
propofol,mcg,mg,mcg/kg/min,mg,"mg,mg/kg,mcg/kg/min,mg/kg/hr",#FFCC00,2.5,4,3,0,1
remifentanil,ng,mcg,mcg/kg/min,mcg/kg/min,"mcg,mcg/kg,mcg/kg/min",#0000C0,0.8,2,1.2,1,1
fentanyl,ng,mcg,mcg/kg/hr,mcg,"mcg,mcg/kg,mcg/kg/hr",#0491E2,0.48,1.2,0.72,0.6,0.6
alfentanil,ng,mcg,mcg/kg/hr,mcg,"mcg,mcg/kg,mcg/kg/hr",#0491E2,31.2,78,46.8,39,39
sufentanil,ng,mcg,mcg/kg/hr,mcg,"mcg,mcg/kg,mcg/kg/hr",#0491E2,0.0448,0.112,0.0672,0.056,0.056
morphine,mcg,mg,mg/hr,mg,"mg,mg/hr",#032FED,0.0064,0.016,0.0096,0.008,0.008
pethidine,mcg,mg,mg/hr,mg,"mg,mg/hr",#5155FF,0.2,0.5,0.3,0.25,0.25
hydromorphone,ng,mg,mg/hr,mg,"mg,mg/kg,mg/hr,mg/kg/hr,mg PO,mg IM,mg IN",#032FED,1.2,3,1.8,1.5,1.5
methadone,mcg,mg,mg/hr,mg,"mg,mg/hr",#71C5E8,0.048,0.12,0.072,0.06,0.06
ketamine,mcg,mg,mg/hr,mg,"mg,mg/hr",#FFCC00,0.1,0.16,0.12,0,0.1
dexmedetomidine,ng,mcg,mcg/kg/hr,mcg/kg/hr,"mcg,mcg/kg,mcg/hr,mcg/kg/hr",#791AEE,0.4,0.8,10,0,0.4
midazolam,mcg,mg,mg/hr,mg,"mg,mg/kg,mg/hr",#E36C0A,0.04,0.12,0.1,0,0.04
etomidate,mcg,mg,mg/kg/min,mg,"mg,mg/kg/min",#FFCC00,0.4,0.8,0.5,0,0.4
lidocaine,mcg,mg,mg/hr,mg,"mg,mg/hr",#B7AE7F,0.5,1.5,1,0,0.5
rocuronium,mcg,mg,mg/kg/hr,mg,"mg,mg/kg/hr",#F9423A,1,2.2,1.5,0,1
naloxone,ng,mcg,mcg/min,mcg,"mcg,mcg/kg,mg,mg/kg,mcg/min,mcg/kg/min,mg/min,mg/kg/min",#404040,0,0,0,0,1
oxytocin,ng,mcg,mcg/min,mcg,"mcg,mcg/min",#008F7D,0.05,0.2,0.1,0,0.05
oxycodone,ng,,,mg PO,mg PO,#032FED,10,20,14,12,10
